#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-05-17,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-05-17,0:00:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
841.2,2.6,9.9,59.7,209.8,6.3,1620.8
840.6,2.7,9.9,59.6,209.9,6.3,1625.5
840.2,2.7,9.9,59.3,210.2,6.3,1630.3
839.7,2.7,9.9,58.9,210.7,6.3,1635.3
839.2,2.7,9.9,58.7,211.3,6.3,1640.4
838.6,2.7,9.8,58.6,212,6.3,1645.8
838,2.7,9.8,58.4,212.8,6.3,1651.1
837.5,2.7,9.8,58.3,213.8,6.3,1656.2
837.1,2.7,9.7,58.3,214.8,6.3,1661
836.6,2.7,9.7,58.1,215.9,6.3,1665.9
836.1,2.7,9.7,57.8,217.1,6.3,1670.9
835.5,2.7,9.6,57.2,218.3,6.4,1676.1
835,2.7,9.6,56.8,219.5,6.4,1681.3
834.6,2.7,9.6,56.4,220.7,6.4,1686.7
833.9,2.7,9.6,56.1,221.9,6.5,1692.7
833.2,2.7,9.6,56.2,223.1,6.5,1698.8
832.6,2.7,9.5,56.7,224.2,6.5,1704.7
832.2,2.7,9.5,57,225.3,6.6,1710
831.7,2.7,9.4,56.9,226.3,6.7,1714.8
831.2,2.7,9.4,56.5,227.1,6.7,1719.3
830.8,2.7,9.4,56.2,227.9,6.8,1723.8
830.3,2.7,9.4,56.5,228.5,6.9,1728.7
829.7,2.7,9.3,57.7,229,6.9,1734.4
829.1,2.7,9.3,60.5,229.3,7,1740.5
828.4,2.7,9.2,65.6,229.6,7.1,1746.7
