
#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-04-27,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-04-27,00:19:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
933.5,1.2,18.4,85.8,86.8,2.3,775.5
933.1,1.2,18.3,85.8,86.9,2.3,779.3
932.8,1.2,18.3,86.1,87,2.2,782.8
932.4,1.2,18.3,86.3,86.9,2.1,786.3
932,1.2,18.2,86.5,86.7,2.1,789.8
931.6,1.2,18.2,86.7,86.4,2,793.3
931.2,1.2,18.2,86.9,86,1.9,797.1
930.8,1.2,18.1,87.2,85.4,1.8,801.1
930.3,1.2,18.1,87.4,84.7,1.7,805.4
929.8,1.2,18,87.6,83.8,1.6,809.7
929.4,1.2,18,87.5,82.7,1.5,813.7
929,1.2,18,87.5,81.3,1.4,817.2
928.7,1.2,18,87.6,79.7,1.3,820.5
928.3,1.2,17.9,87.8,77.7,1.2,824.1
927.9,1.2,17.9,88,75.5,1.1,828
927.4,1.2,17.9,88.1,73,1,832.1
927,1.2,17.8,88.2,70.2,0.9,836.2
926.5,1.2,17.8,88.3,67.3,0.8,840.1
926.1,1.2,17.7,88.5,64.4,0.8,844.1
925.7,1.2,17.7,88.7,61.7,0.8,848.3
925.2,1.2,17.7,88.7,59.4,0.7,852.6
924.7,1.2,17.6,88.7,57.7,0.8,857
924.3,1.2,17.6,88.9,56.8,0.8,861.2
923.8,1.2,17.6,89.2,56.5,0.8,865.1
923.4,1.2,17.5,89.4,56.9,0.9,868.9
923.1,1.2,17.5,89.6,57.7,0.9,872.7
922.6,1.2,17.4,89.8,58.7,1,876.7
922.1,1.2,17.4,90,59.9,1.2,880.9
921.7,1.2,17.4,90.1,61.1,1.3,885.2
921.2,1.2,17.3,90.2,62.1,1.5,889.4
920.8,1.2,17.3,90.4,63,1.6,893.6
920.3,1.2,17.3,90.6,63.7,1.8,897.7
919.9,1.2,17.2,90.8,64.2,2,901.6
919.5,1.2,17.2,91,64.5,2.3,905.6
919.1,1.2,17.2,91.2,64.6,2.5,909.8
918.6,1.2,17.1,91.3,64.5,2.7,913.9
918.1,1.2,17.1,91.4,64.3,3,918.1
917.7,1.2,17.1,91.6,63.9,3.2,922.1
917.3,1.2,17,91.8,63.5,3.5,926.3
916.8,1.2,17,92.1,62.9,3.8,930.6
916.3,1.2,16.9,92.4,62.2,4,935
915.8,1.2,16.9,92.8,61.4,4.3,939.3
915.4,1.2,16.9,93,60.5,4.5,943.4
915,1.2,16.8,93.1,59.6,4.8,947.3
914.6,1.2,16.8,93.2,58.6,5,951.2
914.2,1.2,16.7,93.3,57.6,5.2,955.3
913.7,1.2,16.7,93.3,56.5,5.4,959.4
913.3,1.2,16.7,93.4,55.4,5.6,963.4
912.9,1.2,16.7,93.4,54.3,5.8,967.2
912.5,1.2,16.6,93.4,53.2,5.9,970.9
912.1,1.2,16.6,93.4,52.1,6,974.6
911.7,1.2,16.6,93.2,51.1,6.1,978.4
911.3,1.2,16.6,93.2,50,6.2,982.1
910.9,1.2,16.6,93.1,49,6.3,985.8
